order_date,ship_date,platform,category,product_name,quantity,campaign,voucher_code,discount_pct,discount_value,shipping_cost,net_sales,payment_method,customer_segment,region,stock_status,order_status,customer_rating,priority_flag,is_high_value,order_priority,valid_transaction
2024-04-06,2024/04/10,LAZADA,SPORTS,SKIPPING ROPE,2,NORMAL DAY,NONE,0.0,0,25000,916632,CREDIT CARD,RETURNING,BEKASI,IN STOCK,ON DELIVERY,5,NORMAL,NO,MEDIUM,VALID
27/04/2024,2024-04-28,BLIBLI,FASHION,HOODIE,6,FLASH SALE,DISC10,10.0,RP 139.594,25000,1256342,TRANSFER BANK,RETURNING,MEDAN,LOW STOCK,COMPLETED,5,NORMAL,YES,HIGH,VALID
2024/10/20,21/10/2024,LAZADA,SPORTS,YOGA MAT,2,NORMAL DAY,NONE,0.0,0,9000,1268938,COD,NEW,MAKASSAR,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
2024/06/18,2024-06-20,SHOPEE,FASHION,WOMEN DRESS,1,NORMAL DAY,NONE,0.0,0,9000,566889,VIRTUAL ACCOUNT,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,3,NO,NO,MEDIUM,VALID
2024-11-20,11-25-2024,LAZADA,ELECTRONICS,PHONE CHARGER,2,FLASH SALE,DISC10,10.0,239049,18000,2151441,VIRTUAL ACCOUNT,RETURNING,MEDAN,IN STOCK,COMPLETED,4,NORMAL,YES,HIGH,VALID
2024/12/07,2024-12-11,TOKOPEDIA,HOME LIVING,VACUUM CLEANER,3,CLEARANCE,CLEAR30,30.0,948093,12000,2212218,TRANSFER BANK,RETURNING,SURABAYA,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
14/06/2024,18/06/2024,TIKTOK SHOP,BEAUTY,SKINCARE SERUM,3,CLEARANCE,CLEAR30,30.0,285828,20000,666933,COD,RETURNING,YOGYAKARTA,LOW STOCK,ON DELIVERY,5,NORMAL,NO,MEDIUM,VALID
12/02/2024,2024/02/19,TIKTOK SHOP,SPORTS,SKIPPING ROPE,3,PAYDAY SALE,DISC15,15.0,235863,18000,1336560,TRANSFER BANK,RETURNING,JAKARTA,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
10/10/2024,10-11-2024,BLIBLI,ELECTRONICS,PHONE CHARGER,2,FLASH SALE,DISC10,10.0,133388,9000,1200496,CREDIT CARD,RETURNING,BEKASI,IN STOCK,COMPLETED,5,NORMAL,YES,HIGH,VALID
22/04/2024,2024/04/28,TOKOPEDIA,BEAUTY,LIP TINT,1,FLASH SALE,DISC10,10.0,31025,25000,279229,COD,NEW,BEKASI,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
27/06/2024,06-29-2024,SHOPEE,SPORTS,RUNNING SHOES,2,NORMAL DAY,NONE,0.0,RP 0,20000,808722,TRANSFER BANK,RETURNING,JAKARTA,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
05-29-2024,2024/05/30,TIKTOK SHOP,HOME LIVING,BLENDER,1,FLASH SALE,DISC10,10.0,106641,18000,959769,E-WALLET,RETURNING,MEDAN,PREORDER,COMPLETED,5,N,NO,MEDIUM,VALID
2024/04/07,2024-04-13,TOKOPEDIA,SPORTS,RUNNING SHOES,2,MEGA CAMPAIGN,DISC20,20.0,96548,25000,386190,VIRTUAL ACCOUNT,VIP,SEMARANG,IN STOCK,ON DELIVERY,5,PRIORITY,NO,LOW,VALID
2024-10-12,19/10/2024,BLIBLI,FASHION,MEN T-SHIRT,4,MEGA CAMPAIGN,DISC20,20.0,167853,18000,671411,VIRTUAL ACCOUNT,NEW,YOGYAKARTA,IN STOCK,COMPLETED,5,NO,NO,MEDIUM,VALID
04-22-2024,27/04/2024,LAZADA,BEAUTY,SUNSCREEN,2,CLEARANCE,CLEAR30,30.0,83122,0,193950,CASH ON DELIVERY,NEW,MEDAN,IN STOCK,COMPLETED,3,NO,NO,LOW,VALID
28/05/2024,06-03-2024,BLIBLI,FASHION,HOODIE,3,FLASH SALE,DISC10,10.0,164135,18000,1477213,CREDIT CARD,NEW,BEKASI,IN STOCK,COMPLETED,4,NO,YES,HIGH,VALID
2024-03-29,2024-04-01,BLIBLI,FASHION,WOMEN DRESS,3,NORMAL DAY,NONE,0.0,RP 0,9000,774315,BANK TRANSFER,NEW,SEMARANG,IN STOCK,COMPLETED,4,N,NO,MEDIUM,VALID
2024-08-28,2024-09-03,SHOPEE,BEAUTY,BODY LOTION,2,CLEARANCE,CLEAR30,30.0,134024,18000,312722,E-WALLET,NEW,BEKASI,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
23/12/2024,30/12/2024,LAZADA,FASHION,MEN T-SHIRT,2,MEGA CAMPAIGN,DISC20,20.0,225639,12000,902555,COD,RETURNING,MAKASSAR,IN STOCK,COMPLETED,3,N,NO,MEDIUM,VALID
23/03/2024,2024/03/30,BLIBLI,ELECTRONICS,SMARTWATCH,1,NORMAL DAY,NONE,0.0,RP 0,12000,341671,CREDIT CARD,VIP,BANDUNG,IN STOCK,COMPLETED,5,YES,NO,LOW,VALID
16/05/2024,2024/05/20,SHOPEE,FASHION,SNEAKERS,2,FLASH SALE,DISC10,10.0,14777,15000,132989,CREDIT CARD,RETURNING,BANDUNG,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
02/08/2024,2024/08/08,SHOPEE,HOME LIVING,VACUUM CLEANER,2,PAYDAY SALE,DISC15,15.0,43057,0,243987,E-WALLET,NEW,SURABAYA,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
2024/09/04,2024-09-06,TOKOPEDIA,BEAUTY,FACE WASH,2,CLEARANCE,CLEAR30,30.0,90902,12000,212104,CREDIT CARD,VIP,JAKARTA,IN STOCK,COMPLETED,5,YES,NO,LOW,VALID
2024/05/06,05-10-2024,BLIBLI,HOME LIVING,RICE COOKER,3,NORMAL DAY,NONE,0.0,0,20000,864306,TRANSFER BANK,NEW,JAKARTA,IN STOCK,COMPLETED,5,NORMAL,NO,MEDIUM,VALID
2024/02/18,2024-02-25,SHOPEE,HOME LIVING,STORAGE BOX,1,FLASH SALE,DISC10,10.0,RP 34.496,9000,310467,TRANSFER BANK,NEW,SURABAYA,IN STOCK,COMPLETED,5,NO,NO,LOW,VALID
2024/01/17,23/01/2024,BLIBLI,SPORTS,RUNNING SHOES,8,NORMAL DAY,NONE,0.0,0,25000,1603376,TRANSFER BANK,RETURNING,JAKARTA,IN STOCK,COMPLETED,5,NORMAL,YES,HIGH,VALID
2024/09/23,09-24-2024,TOKOPEDIA,FASHION,SNEAKERS,1,NORMAL DAY,NONE,0.0,0,0,527051,E-WALLET,NEW,MAKASSAR,IN STOCK,COMPLETED,4,NORMAL,NO,MEDIUM,VALID
10/10/2024,14/10/2024,TOKOPEDIA,BEAUTY,FACE WASH,8,NORMAL DAY,NONE,0.0,0,25000,604896,COD,RETURNING,BANDUNG,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
04-03-2024,2024/03/31,TOKOPEDIA,SPORTS,RUNNING SHOES,6,NORMAL DAY,NONE,0.0,0,25000,0,E-WALLET,RETURNING,YOGYAKARTA,LOW STOCK,CANCEL,5,N,NO,LOW,VALID
17/06/2024,19/06/2024,LAZADA,SPORTS,CYCLING GLOVES,1,NORMAL DAY,NONE,0.0,0,0,687453,E-WALLET,NEW,BANDUNG,IN STOCK,COMPLETED,3,NORMAL,NO,MEDIUM,VALID
05/02/2024,2024/02/07,SHOPEE,SPORTS,DUMBBELL 5KG,4,MEGA CAMPAIGN,DISC20,20.0,146263,9000,585053,E-WALLET,NEW,YOGYAKARTA,IN STOCK,COMPLETED,3,NORMAL,NO,MEDIUM,VALID
2024-01-05,2024/03/31,SHOPEE,HOME_LIVING,BLENDER,1,NORMAL DAY,NONE,0.0,0,15000,0,CREDIT CARD,RETURNING,BEKASI,IN STOCK,CANCELLED,5,NORMAL,NO,LOW,INVALID
2024-01-25,2024-02-02,BLIBLI,BEAUTY,LIP TINT,4,MEGA CAMPAIGN,DISC20,20.0,257518,15000,1030074,COD,NEW,MAKASSAR,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
2024-10-30,11-03-2024,SHOPEE,BEAUTY,BODY LOTION,5,FLASH SALE,DISC10,10.0,104487,9000,940383,TRANSFER BANK,NEW,BEKASI,PREORDER,COMPLETED,3,NO,NO,MEDIUM,VALID
09-02-2024,09-06-2024,BLIBLI,BEAUTY,FACE WASH,5,CLEARANCE,CLEAR30,30.0,RP 431.211,0,1006159,CREDIT CARD,RETURNING,BEKASI,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
2024/03/11,15/03/2024,SHOPEE,FASHION,SNEAKERS,4,FLASH SALE,DISC10,10.0,68197,15000,613775,VIRTUAL ACCOUNT,VIP,SURABAYA,IN STOCK,COMPLETED,5,YES,NO,MEDIUM,VALID
18/11/2024,11-21-2024,SHOPEE,FASHION,HOODIE,5,NORMAL DAY,NONE,0.0,0,18000,1481590,VIRTUAL ACCOUNT,NEW,YOGYAKARTA,LOW STOCK,COMPLETED,4,NO,YES,HIGH,VALID
09-22-2024,2024/09/24,BLIBLI,SPORTS,SKIPPING ROPE,2,FLASH SALE,DISC10,10.0,133641,20000,1202767,TRANSFER BANK,NEW,SURABAYA,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
2024/12/12,12-13-2024,TIKTOK SHOP,BEAUTY,LIP TINT,1,CLEARANCE,CLEAR30,30.0,102110,9000,238256,VIRTUAL ACCOUNT,NEW,JAKARTA,IN STOCK,COMPLETED,4,NO,NO,LOW,VALID
2024-10-03,04/10/2024,LAZADA,HOME LIVING,BLENDER,3,NORMAL DAY,NONE,0.0,0,0,799824,E-WALLET,NEW,JAKARTA,LOW STOCK,COMPLETED,5,NORMAL,NO,MEDIUM,VALID
09-28-2024,05/10/2024,TOKOPEDIA,BEAUTY,LIP TINT,3,FLASH SALE,DISC10,10.0,24599,20000,221395,UNKNOWN,NEW,BEKASI,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
09/02/2024,2024/02/10,TIKTOK SHOP,HOME LIVING,TABLE LAMP,2,NORMAL DAY,NONE,0.0,0,25000,253640,VIRTUAL ACCOUNT,RETURNING,MAKASSAR,IN STOCK,COMPLETED,3,NORMAL,NO,LOW,VALID
10-29-2024,11-07-2024,BLIBLI,SPORTS,RUNNING SHOES,4,MEGA CAMPAIGN,DISC20,20.0,318058,15000,1272230,TRANSFER BANK,RETURNING,MEDAN,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
03-19-2024,27/03/2024,LAZADA,BEAUTY,SUNSCREEN,4,MEGA CAMPAIGN,DISC20,20.0,217791,0,871165,COD,VIP,YOGYAKARTA,IN STOCK,COMPLETED,5,Y,NO,MEDIUM,VALID
02/06/2024,2024-06-06,TOKOPEDIA,ELECTRONICS,POWER BANK,1,FLASH SALE,NONE,10.0,55373,20000,498357,TRANSFER BANK,NEW,JAKARTA,LOW STOCK,COMPLETED,4,NO,NO,LOW,VALID
09-10-2024,2024/03/31,TOKOPEDIA,FASHION,JEANS,4,FLASH SALE,DISC10,10.0,46972,0,422752,TRANSFER BANK,NEW,BEKASI,IN STOCK,COMPLETED,5,N,NO,LOW,VALID
04-02-2024,2024/04/05,BLIBLI,SPORTS,CYCLING GLOVES,2,PAYDAY SALE,DISC15,15.0,242562,18000,1374518,TRANSFER BANK,NEW,BEKASI,IN STOCK,COMPLETED,4,N,YES,HIGH,VALID
2024-11-15,2024/11/20,TOKOPEDIA,SPORTS,DUMBBELL 5KG,2,NORMAL DAY,NONE,0.0,0,12000,1655774,E-WALLET,NEW,BANDUNG,LOW STOCK,COMPLETED,4,NO,YES,HIGH,VALID
2024/01/02,2024-01-06,BLIBLI,HOME LIVING,TABLE LAMP,3,PAYDAY SALE,DISC15,15.0,135048,12000,765270,VIRTUAL ACCOUNT,RETURNING,MEDAN,IN STOCK,COMPLETED,5,N,NO,MEDIUM,VALID
11-15-2024,2024-11-21,SHOPEE,HOME LIVING,BLENDER,1,MEGA CAMPAIGN,DISC20,20.0,68575,9000,274300,E-WALLET,NEW,MEDAN,PREORDER,COMPLETED,3,NO,NO,LOW,VALID
11-23-2024,12-01-2024,TIKTOK SHOP,FASHION,JEANS,1,MEGA CAMPAIGN,DISC20,20.0,17951,20000,71802,E-WALLET,VIP,MEDAN,PREORDER,COMPLETED,4,YES,NO,LOW,VALID
05-07-2024,2024/05/08,TIKTOK SHOP,HOME LIVING,RICE COOKER,6,NORMAL DAY,NONE,0.0,0,18000,1337862,VIRTUAL ACCOUNT,NEW,SURABAYA,IN STOCK,COMPLETED,4,N,YES,HIGH,VALID
2024/01/03,2024/01/06,BLIBLI,SPORTS,SKIPPING ROPE,4,MEGA CAMPAIGN,DISC20,20.0,159059,0,636237,COD,NEW,MAKASSAR,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
03/02/2024,2024-02-09,BLIBLI,BEAUTY,FACE WASH,5,MEGA CAMPAIGN,DISC20,20.0,RP 173.263,9000,693052,E-WALLET,RETURNING,SURABAYA,IN STOCK,COMPLETED,4,YES,NO,MEDIUM,VALID
2024/09/25,2024/09/26,SHOPEE,ELECTRONICS,BLUETOOTH SPEAKER,2,CLEARANCE,CLEAR30,30.0,932620,0,2176112,VIRTUAL ACCOUNT,RETURNING,BANDUNG,LOW STOCK,COMPLETED,4,NO,YES,HIGH,VALID
09-01-2024,03/09/2024,SHOPEE,BEAUTY,LIP TINT,1,CLEARANCE,CLEAR30,30.0,17599,15000,41064,TRANSFER BANK,RETURNING,SEMARANG,IN STOCK,COMPLETED,4,N,NO,LOW,VALID
04/08/2024,2024/03/31,TOKOPEDIA,FASHION,JEANS,3,NORMAL DAY,NONE,0.0,0,18000,626355,COD,RETURNING,SEMARANG,IN STOCK,COMPLETED,4,NO,NO,MEDIUM,VALID
2024-08-17,2024-08-23,SHOPEE,FASHION,SNEAKERS,6,MEGA CAMPAIGN,DISC20,20.0,288481,18000,1153925,VIRTUAL ACCOUNT,RETURNING,JAKARTA,IN STOCK,COMPLETED,4,Y,YES,HIGH,VALID
2024/04/17,04-19-2024,BLIBLI,BEAUTY,LIP TINT,3,NORMAL DAY,NONE,0.0,0,15000,560007,E-WALLET,NEW,MAKASSAR,LOW STOCK,COMPLETED,3,NORMAL,NO,MEDIUM,VALID
2024-07-26,2024/07/28,TOKOPEDIA,SPORTS,SKIPPING ROPE,1,CLEARANCE,CLEAR30,30.0,249519,25000,582211,VIRTUAL ACCOUNT,RETURNING,BEKASI,IN STOCK,COMPLETED,5,NORMAL,NO,MEDIUM,VALID
24/06/2024,01/07/2024,LAZADA,HOME LIVING,BLENDER,2,NORMAL DAY,NONE,0.0,0,20000,2195916,VIRTUAL ACCOUNT,NEW,YOGYAKARTA,PREORDER,COMPLETED,5,NO,YES,HIGH,VALID
13/04/2024,04-20-2024,BLIBLI,FASHION,JEANS,2,FLASH SALE,DISC10,10.0,103297,9000,929671,TRANSFER BANK,RETURNING,BEKASI,IN STOCK,COMPLETED,5,NORMAL,NO,MEDIUM,VALID
2024-06-23,06-24-2024,TOKOPEDIA,HOME LIVING,STORAGE BOX,1,NORMAL DAY,NONE,0.0,0,20000,780620,VIRTUAL ACCOUNT,VIP,JAKARTA,IN STOCK,COMPLETED,5,Y,NO,MEDIUM,VALID
04-14-2024,2024/04/22,TIKTOK SHOP,SPORTS,YOGA MAT,1,MEGA CAMPAIGN,DISC20,20.0,14592,9000,58367,VA,RETURNING,BANDUNG,IN STOCK,SHIPPED,5,Y,NO,LOW,VALID
09/01/2024,12/01/2024,TOKOPEDIA,FASHION,WOMEN DRESS,1,MEGA CAMPAIGN,DISC20,0.0,27188,0,108754,E-WALLET,NEW,BEKASI,IN STOCK,COMPLETED,3,YES,NO,LOW,VALID
08-18-2024,2024/08/23,TOKOPEDIA,BEAUTY,SUNSCREEN,2,CLEARANCE,CLEAR30,30.0,125401,18000,292603,COD,RETURNING,SEMARANG,IN STOCK,COMPLETED,5,N,NO,LOW,VALID
2024/07/22,2024/07/26,SHOPEE,BEAUTY,SUNSCREEN,1,PAYDAY SALE,DISC15,15.0,6538,18000,37048,VIRTUAL ACCOUNT,NEW,SEMARANG,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
04/03/2024,09/03/2024,LAZADA,BEAUTY,LIP TINT,2,FLASH SALE,DISC10,10.0,6797,9000,61177,TRANSFER BANK,VIP,JAKARTA,IN STOCK,COMPLETED,4,Y,NO,LOW,VALID
09-14-2024,2024/09/19,TOKOPEDIA,BEAUTY,BODY LOTION,2,MEGA CAMPAIGN,DISC20,0.0,110719,15000,442875,VIRTUAL ACCOUNT,RETURNING,YOGYAKARTA,IN STOCK,COMPLETED,3,PRIORITY,NO,LOW,VALID
2024/10/29,2024-10-31,TOKOPEDIA,FASHION,SNEAKERS,3,CLEARANCE,CLEAR30,30.0,236982,9000,552957,CREDIT CARD,RETURNING,SURABAYA,LOW STOCK,COMPLETED,5,N,NO,MEDIUM,VALID
04-17-2024,04-23-2024,SHOPEE,BEAUTY,LIP TINT,2,FLASH SALE,DISC10,10.0,54875,20000,493875,VIRTUAL ACCOUNT,VIP,YOGYAKARTA,IN STOCK,COMPLETED,5,Y,NO,LOW,VALID
2024-08-14,08-16-2024,SHOPEE,BEAUTY,BODY LOTION,6,NORMAL DAY,NONE,0.0,0,25000,1730802,VIRTUAL ACCOUNT,RETURNING,SEMARANG,IN STOCK,COMPLETED,5,NORMAL,YES,HIGH,VALID
2024-09-25,2024/09/29,LAZADA,SPORTS,CYCLING GLOVES,1,NORMAL DAY,NONE,0.0,0,9000,68296,CREDIT CARD,VIP,MAKASSAR,PREORDER,COMPLETED,5,NO,NO,LOW,VALID
05-04-2024,05-07-2024,TOKOPEDIA,HOME LIVING,VACUUM CLEANER,3,CLEARANCE,CLEAR30,30.0,313281,25000,730989,COD,RETURNING,MAKASSAR,PREORDER,COMPLETED,3,N,NO,MEDIUM,VALID
05-14-2024,2024-05-18,TIKTOK SHOP,ELECTRONICS,PHONE CHARGER,3,FLASH SALE,DISC10,10.0,232878,15000,2095905,TRANSFER BANK,NEW,YOGYAKARTA,PREORDER,COMPLETED,4,N,YES,HIGH,VALID
2024-02-09,2024-02-12,BLIBLI,SPORTS,YOGA MAT,1,PAYDAY SALE,DISC15,15.0,29570,9000,167561,VIRTUAL ACCOUNT,VIP,YOGYAKARTA,IN STOCK,COMPLETED,5,YES,NO,LOW,VALID
11/08/2024,2024-08-12,TOKOPEDIA,FASHION,JEANS,4,FLASH SALE,DISC10,10.0,233959,9000,2105629,E-WALLET,NEW,YOGYAKARTA,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
11/11/2024,11-18-2024,TOKOPEDIA,BEAUTY,BODY LOTION,5,MEGA CAMPAIGN,DISC20,20.0,195849,0,783396,COD,RETURNING,SURABAYA,PREORDER,COMPLETED,5,YES,NO,MEDIUM,VALID
08-25-2024,2024-08-28,SHOPEE,ELECTRONICS,POWER BANK,4,FLASH SALE,DISC10,10.0,166864,0,1501772,CREDIT CARD,NEW,SURABAYA,IN STOCK,COMPLETED,5,NO,YES,HIGH,VALID
2024-11-30,2024-12-03,BLIBLI,BEAUTY,SKINCARE SERUM,4,MEGA CAMPAIGN,DISC20,20.0,158302,15000,633210,CREDIT CARD,RETURNING,SEMARANG,IN STOCK,COMPLETED,5,PRIORITY,NO,MEDIUM,VALID
04/10/2024,10/10/2024,BLIBLI,BEAUTY,LIP TINT,2,FLASH SALE,DISC10,10.0,58707,0,528363,BANK TRANSFER,NEW,MAKASSAR,PREORDER,COMPLETED,4,NO,NO,MEDIUM,VALID
20/02/2024,24/02/2024,BLIBLI,HOME LIVING,VACUUM CLEANER,1,FLASH SALE,DISC10,10.0,46236,9000,416121,E-WALLET,RETURNING,BEKASI,LOW STOCK,COMPLETED,4,NO,NO,LOW,VALID
2024-06-30,2024/07/04,BLIBLI,FASHION,SNEAKERS,5,NORMAL DAY,NONE,0.0,0,12000,2087055,E-WALLET,VIP,YOGYAKARTA,IN STOCK,SHIPPED,5,YES,YES,HIGH,VALID
2024-08-15,2024-08-19,BLIBLI,ELECTRONICS,WIRELESS EARBUDS,1,NORMAL DAY,NONE,0.0,0,20000,1320290,COD,RETURNING,SURABAYA,IN STOCK,ON DELIVERY,5,NORMAL,YES,HIGH,VALID
02-27-2024,2024/02/28,SHOPEE,ELECTRONICS,BLUETOOTH SPEAKER,2,NORMAL DAY,NONE,0.0,0,18000,348014,COD,RETURNING,SURABAYA,IN STOCK,COMPLETED,5,NORMAL,NO,LOW,VALID
01-27-2024,29/01/2024,SHOPEE,SPORTS,YOGA MAT,3,NORMAL DAY,NONE,0.0,0,15000,606762,E-WALLET,NEW,MAKASSAR,IN STOCK,COMPLETED,4,N,NO,MEDIUM,VALID
11-21-2024,22/11/2024,SHOPEE,FASHION,SNEAKERS,3,PAYDAY SALE,DISC15,0.0,246936,25000,1399302,CREDIT CARD,RETURNING,SURABAYA,IN STOCK,COMPLETED,5,N,YES,HIGH,VALID
07-06-2024,2024/03/31,TIKTOK SHOP,BEAUTY,BODY LOTION,1,NORMAL DAY,NONE,0.0,0,18000,0,E-WALLET,VIP,BANDUNG,IN STOCK,CANCEL,5,PRIORITY,NO,LOW,VALID
2024-07-13,2024/07/15,TOKOPEDIA,HOME LIVING,VACUUM CLEANER,2,PAYDAY SALE,DISC15,15.0,317521,12000,1799285,COD,NEW,YOGYAKARTA,PREORDER,COMPLETED,4,NO,YES,HIGH,VALID
2024-11-18,2024/11/25,SHOPEE,SPORTS,DUMBBELL 5KG,2,MEGA CAMPAIGN,DISC20,20.0,306869,12000,1227475,VIRTUAL ACCOUNT,VIP,BEKASI,IN STOCK,COMPLETED,4,PRIORITY,YES,HIGH,VALID
2024/01/24,2024/01/28,SHOPEE,BEAUTY,SKINCARE SERUM,3,FLASH SALE,DISC10,10.0,74897,12000,674071,CREDIT CARD,RETURNING,SEMARANG,IN STOCK,COMPLETED,5,NO,NO,MEDIUM,VALID
10-08-2024,2024/10/10,TIKTOK SHOP,FASHION,MEN T-SHIRT,6,MEGA CAMPAIGN,DISC20,20.0,236956,25000,947822,CREDIT CARD,VIP,MEDAN,IN STOCK,COMPLETED,4,PRIORITY,NO,MEDIUM,VALID
14/02/2024,23/02/2024,SHOPEE,SPORTS,DUMBBELL 5KG,3,MEGA CAMPAIGN,DISC20,20.0,183385,12000,733538,CREDIT CARD,RETURNING,MAKASSAR,IN STOCK,COMPLETED,4,YES,NO,MEDIUM,VALID
2024/07/27,2024-08-04,TIKTOK SHOP,FASHION,SNEAKERS,8,MEGA CAMPAIGN,DISC20,20.0,482090,18000,1928358,E-WALLET,RETURNING,BANDUNG,IN STOCK,COMPLETED,3,Y,YES,HIGH,VALID
2024-09-29,10-03-2024,TIKTOK SHOP,HOME LIVING,STORAGE BOX,3,CLEARANCE,CLEAR30,30.0,627770,18000,1464796,TRANSFER BANK,RETURNING,MAKASSAR,IN STOCK,COMPLETED,3,N,YES,HIGH,VALID
2024-07-22,29/07/2024,BLIBLI,FASHION,HOODIE,1,MEGA CAMPAIGN,DISC20,20.0,94974,12000,379894,CREDIT CARD,NEW,BEKASI,IN STOCK,SHIPPED,5,PRIORITY,NO,LOW,VALID
